id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
1057,TBK0145,Kacang Kacang,Leguminosae sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,73,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.3011882,101.0319529,421.6273561,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,7769.936302,-,-,media/1.1057.jpg,media/2.1057.jpg,media/3.1057.jpg,media/4.1057.jpg,adopsipohonriau/1057
1058,TBK0146,Bumbuang,Pertusadina sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,76,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.3016259,101.0318795,420.3946922,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,19849.87812,-,-,media/1.1058.jpg,media/2.1058.jpg,media/3.1058.jpg,media/4.1058.jpg,adopsipohonriau/1058
1059,TBK0147,Meranti,Shorea sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,133,15,Hutan Adat Imbo Bukik Kojan,-,-,-0.3015889,101.0316032,422.3833763,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,10006.77462,-,-,media/1.1059.jpg,media/2.1059.jpg,media/3.1059.jpg,media/4.1059.jpg,adopsipohonriau/1059
1060,TBK0148,Meranti,Shorea sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,95,15,Hutan Adat Imbo Bukik Kojan,-,-,-0.3014969,101.0316084,420.4974426,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,27117.27103,-,-,media/1.1060.jpg,media/2.1060.jpg,media/3.1060.jpg,media/4.1060.jpg,adopsipohonriau/1060
1061,TBK0149,Meranti,Shorea sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,89,25,Hutan Adat Imbo Bukik Kojan,-,-,-0.3014468,101.032001,419.7933011,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,6199.163475,-,-,media/1.1061.jpg,media/2.1061.jpg,media/3.1061.jpg,media/4.1061.jpg,adopsipohonriau/1061
1062,TBK0150,Agho,Ficus sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,136,30,Hutan Adat Imbo Bukik Kojan,-,-,-0.301553,101.0322228,401.312411,2,Belum,Belum,Belum,Joni,5/1/2021 0:00,200000,164425.3768,-,-,media/1.1062.jpg,media/2.1062.jpg,media/3.1062.jpg,media/4.1062.jpg,adopsipohonriau/1062
1063,TBK0236,Kasai,Pometia pinnata,Pohon Tua,icon/mature_tree.svg,Least Concern,143,20,Hutan Adat Imbo Bukik Kojan,-,-,-0.3012176,101.0312122,405.2987626,2,Belum,Belum,Belum,Ramlan,5/1/2021 0:00,200000,34485.68619,-,-,media/1.1063.jpg,media/2.1063.jpg,media/3.1063.jpg,media/4.1063.jpg,adopsipohonriau/1063
1064,TBK0237,Modang Kaladi,Litsea sp.,Pohon Tua,icon/mature_tree.svg,Not Defined,82,25,Hutan Adat Imbo Bukik Kojan,-,-,-0.3013613,101.0312278,403.2010453,2,Belum,Belum,Belum,Naser,5/1/2021 0:00,200000,9956.557333,-,-,media/1.1064.jpg,media/2.1064.jpg,media/3.1064.jpg,media/4.1064.jpg,adopsipohonriau/1064
1065,TBK0238,Kasai,Pometia pinnata,Pohon Tua,icon/mature_tree.svg,Least Concern,143,25,Hutan Adat Imbo Bukik Kojan,-,-,-0.3014764,101.0313085,404.9890546,2,Belum,Belum,Belum,Naser,5/1/2021 0:00,200000,42876.86705,-,-,media/1.1065.jpg,media/2.1065.jpg,media/3.1065.jpg,media/4.1065.jpg,adopsipohonriau/1065
1066,TBK0239,Toghok,Artocarpus elasticus,Pohon Tua,icon/mature_tree.svg,Least Concern,133,35,Hutan Adat Imbo Bukik Kojan,-,-,-0.301248,101.0312089,403.6396322,2,Belum,Belum,Belum,Eka Saputra,5/1/2021 0:00,200000,32475.74251,-,-,media/1.1066.jpg,media/2.1066.jpg,media/3.1066.jpg,media/4.1066.jpg,adopsipohonriau/1066
